path	loc	title	first_para	last_mod_date	last_mod_author	in_mkdocs_nav
docs/concepts/architecture.md	290	Architecture	PointlesSQL is a thin web app + Python bridge that orchestrates three external processes — soyuz-catalog, Delta Lake, and an optional MLflow subprocess — and writes its own audit trail to a small S...	2026-05-05	Florian Hofstetter	true
docs/concepts/audit-trail.md	286	Audit trail	PointlesSQL's audit trail is **non-bypassable**. Every PQL write-side primitive (`write_table`, `merge`, `aggregate`, `rollback`, `branch.promote`) goes through a `record_operation` context manager...	2026-05-02	Florian Hofstetter	true
docs/concepts/auth.md	167	Authentication and the API-key gate	PointlesSQL accepts two auth shapes for HTTP requests:	2026-05-02	Florian Hofstetter	true
docs/concepts/cell-level-social.md	130	Cell-level social — Comments, reactions, and tags per notebook cell	Phase 95 extends the polymorphic social schema from Phase 77 down a level: any **single cell** inside a `.py` notebook is now its own social entity. A user (or a Phase-101 reviewer agent) can drop...	2026-05-19	Florian Hofstetter	true
docs/concepts/contextual-help.md	75	Contextual help icons	introduces small `bi-info-circle` icons next to the highest-value anchor points in the web UI — page headers, key tabs, domain-specific badges. Click an icon and a Bootstrap popover explains *what...	2026-05-02	Florian Hofstetter	true
docs/concepts/data-layers.md	86	Data layers — Medallion conventions	PointlesSQL ships an opinionated default for organising lakehouse tables: the **Medallion** layout (bronze → silver → gold). These conventions matter because PointlesSQL is the *persistent analytic...	2026-05-17	Florian Hofstetter	true
docs/concepts/data-products.md	148	Data Products	A *data product* in PointlesSQL is the convention "this UC schema is a named, owned, versioned bundle of tables". The schema metadata (steward, version, freshness SLA, expected per-table schema) li...	2026-05-07	Florian Hofstetter	true
docs/concepts/git-backed-workspaces.md	140	Git-Backed Workspaces	A *git-backed workspace* in PointlesSQL is the convention "this workspace pulls 1..n configuration sources straight from git repositories committed by the data team". Phase 51 adds the workspace-si...	2026-05-16	Florian Hofstetter	true
docs/concepts/index.md	47	Concepts	Deep-dive pages on how PointlesSQL is built and why. Read in this order if you want the full mental model:	2026-05-19	Florian Hofstetter	true
docs/concepts/lineage.md	216	Lineage	PointlesSQL captures four levels of lineage, **chained through one DAG**. Each level is its own table; each is opt-in higher- cost than the level below. An auditor looking at a suspicious gold-tabl...	2026-05-05	Florian Hofstetter	true
docs/concepts/nl-to-sql.md	129	NL → SQL chat panel	Phase 91 ships the [`hermes-agent`](https://github.com/FloHofstetter/hermes-agent) – powered chat drawer in the SQL editor: a side panel that turns natural-language questions into either capped SEL...	2026-05-19	Florian Hofstetter	true
docs/concepts/pii-modes.md	105	PII modes	closes the cleartext-at-rest gap on `lineage_value_changes`. When `settings.audit.pii_mode` is anything other than `store_clear`, the bulk-insert into the value-changes table redacts `old_value` /...	2026-05-02	Florian Hofstetter	true
docs/concepts/vector-search.md	125	Vector search	Phase 92 lands PointlesSQL's third PQL compute primitive — semantic retrieval over a Delta table's text column. Together with Phase 90 ([Agent memory](agent-memory.md)) and Phase 91 ([NL → SQL chat...	2026-05-19	Florian Hofstetter	true
docs/concepts/workspaces.md	131	Workspaces	PointlesSQL ships with **soft workspace isolation** modeled after Databricks Unity Catalog: catalogs stay global so any workspace can read any table subject to UC privileges, but every PointlesSQL-...	2026-05-05	Florian Hofstetter	true
docs/decisions/0001-notebook-editor.md	259	ADR 0001 — Native notebook editor architecture	Status: Accepted (Phase 12.6, Sprint 58) Supersedes: nothing (greenfield; the Sprint-3 JupyterLab iframe at `/notebook` remains live until Sprint 63 retires it — hard rule, no regression window for...	2026-04-30	Florian Hofstetter	true
docs/decisions/0002-duckdb-first.md	160	ADR 0002 — DuckDB-first for compute	Status: Accepted (Phase 13.5, Sprint 13.5.1) Supersedes: nothing (the Sprint-2 pandas read path stays — this ADR governs *new* compute primitives, not the existing DataFrame-engine seam in `pointle...	2026-04-30	Florian Hofstetter	true
docs/decisions/0003-delta-branching-spike.md	131	ADR-0003 — Delta-Branching shallow-clone spike (Sprint 16.5.0)	Status: spike — informs Phase 16.5 product re-decision.	2026-04-30	Florian Hofstetter	true
docs/decisions/0004-public-flip-checklist.md	143	ADR-0004 — Public-flip checklist	**Accepted** (2026-04-30). Codifies the procedure the launch sprint will follow when flipping PointlesSQL from private to public.	2026-04-30	Florian Hofstetter	true
docs/decisions/0008-workspace-soft-isolation.md	146	ADR-0008 — Workspace soft isolation	**Accepted** (2026-05-05). Phase 28 closed across nine sub-sprints (28.0 through 28.8) under this contract.	2026-05-05	Florian Hofstetter	true
docs/decisions/0009-doc-publication-decisions.md	275	ADR-0009 — Doc-publication architectural decisions	**Accepted** (2026-05-25). Locks eight cross-cutting decisions that shape the seven-wave documentation overhaul plan (W1–W7). Subsequent wave detail-plans cite this ADR rather than re-litigate any...	(untracked)	(untracked)	true
docs/decisions/index.md	22	Architecture Decision Records	Decisions worth re-reading in six months land here as ADRs. The numbering is sequential. Format is loosely [MADR](https://adr.github.io/madr/) — Status, Context, Decision, Consequences.	2026-04-30	Florian Hofstetter	true
docs/development/design-tokens.md	257	Design tokens	The single source of truth for PointlesSQL's design system. Tokens live in [`frontend/css/base.css`](https://github.com/FloHofstetter/PointlesSQL/blob/main/frontend/css/base.css) under the `:root`...	2026-05-25	Florian Hofstetter	true
docs/development/frontend-architecture.md	292	Frontend architecture	PointlesSQL ships a server-rendered frontend with **no build step**: Jinja2 templates rendered by FastAPI, dressed with Bootstrap 5.3, made reactive with Alpine.js, swapped server-side with HTMX, a...	2026-05-25	Florian Hofstetter	true
docs/development/frontend-conventions.md	174	Frontend conventions	PointlesSQL ships a thin FastAPI + Jinja2 + Bootstrap 5 + HTMX + Alpine.js frontend. The conventions below codify the established structural decisions so future contributors — human or LLM — can la...	2026-05-25	Florian Hofstetter	true
docs/development/index.md	13	Development	Notes for contributors.	2026-05-02	Florian Hofstetter	true
docs/development/test-suite.md	127	Test suite	The pytest suite drives both lanes (SQLite default + the Phase-30 Postgres dialect lane) and is the second-most-touched asset in the repo after the production code. Phase 31 closed the structural s...	2026-05-05	Florian Hofstetter	true
docs/e2e-walkthroughs/README.md	483	End-to-end walkthroughs	Deterministic, step-for-step UI walkthroughs that exercise every HTML route, every interactive Alpine component, and every UI-relevant setting of PointlesSQL against a freshly-composed stack. Each...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/admin-audit.md	180	Admin audit-log walkthrough	Exercises the admin audit-log viewer at `/admin/audit`: admin-only access, server-side filter form (`?since=`, `?action=`, `?user=`, `?target=`), reused `listTable` chips, and the click-to-expand d...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/admin-cdf-tail.md	183	Admin CDF subscriptions walkthrough	End-to-end exercise of the foreign-Delta CDF tail UI: admin landing card → `/admin/cdf-subscriptions` registry CRUD → `Run tail now` trigger → table-detail "CDF events" tab. Mirror of the push-mode...	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/admin-console.md	261	Admin console walkthrough	End-to-end exercise of every page reachable from the admin landing at `/admin`: the 7-card landing index, the `/admin/external-writes` scanner, the `/admin/api-keys` CRUD with plaintext-secret moda...	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/agent-ml-registry.md	185	E2E walkthrough — Agent-driven ML Registry flow	This playbook validates the eight Hermes-plugin tools that close out cross-repo. The vertical slice: an agent connected through `hermes-plugin-pointlessql` browses registered models, trains and reg...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/agent-review-detail.md	138	Agent-review detail walkthrough	Covers the per-review detail page surfaced 's Audit-Reviewer-Agent: a markdown summary card, an optional raw replay-payload card (tool-call transcript), a metadata sidebar, and a dispatcher fan-out...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/agent_drift_monitor.md	220	Agent: Drift-Monitor walkthrough	**** — replay this playbook to verify the Drift-Monitor agent end-to-end: a Hermes-style external runtime registers an agent run, fires the `notebooks/agent_drift_monitor.py` notebook, appends per-...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/agent_memory.md	188	E2E walkthrough — Agent-memory page	This playbook validates the agent-memory "brain browser" page that Phase 90 ships on top of the existing `agent_runs` + `agent_run_operations` + `branch_audit_log` tables. The vertical slice: a rev...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/alerts.md	156	Alerts walkthrough	End-to-end exercise of the alert subscription surfaces:	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/audit-cockpit-deep.md	336	Audit cockpit deepening walkthrough	End-to-end exercise of the → 18.x audit cockpit surfaces that grew on top of the daily Audit-Reviewer loop:	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/audit-reviewer-daily.md	191	Audit-Reviewer-Agent daily-review walkthrough	Exercises the reference Hermes cron: a daily 06:00 UTC agent run that summarises yesterday's PointlesSQL audit activity and delivers Markdown to a configured sink.	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/audit-sinks.md	201	Audit-stream sinks walkthrough	Exercises the admin Audit-sinks UI at `/admin/audit-sinks`: create a webhook sink with HMAC secret, verify secret redaction in the rendered HTML, fire a synthetic test envelope, toggle the sink on/...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/auth.md	153	Auth walkthrough	Covers the auth surface end-to-end: first-user-bootstrap admin registration, second-user non-admin registration, login, logout, the `/auth/me` JSON endpoint, the redirect-to-login middleware, the a...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/branches.md	228	Delta-Branching walkthrough	Exercises the zero-copy branching primitives end-to-end: create a branch, write to it, prove the parent stays untouched, preview a promotion, deliberately break it with a competing parent write, di...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/catalog-browsing.md	274	Catalog-browsing walkthrough	Click-through of the read-only browsing surface: the `/` welcome screen, the catalog/schema/table detail pages, the sidebar tree including its `sessionStorage` persistence, and the PQL snippet card...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/command-palette.md	182	Command palette walkthrough	Covers the global command palette: navbar trigger, Cmd+K keyboard activation, debounced `GET /api/search` aggregation across catalogs / schemas / tables / federation / jobs / dashboards / notebooks...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/compliance-bot.md	130	Compliance-Bot e2e walkthrough	exercises the Hermes-one-shot Compliance-Bot persona against a freshly-seeded PointlesSQL. Asserts the canonical question shapes resolve correctly and verifies the read-only safety properties (mask...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/config-matrix.md	147	Config-matrix walkthrough	Proves the three orthogonal runtime-config axes — engine, log format, and metadata DB — all still pass a golden-path browser run. One fully-written primary walk + five delta walks.	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/contextual-panels.md	196	Contextual side-panels walkthrough	Exercises the context-panels: the 240-px sidebar to the right of the icon-rail. Each rail icon now opens its own navigable list (catalog tree for Federation, runs/branches/ workspace/jobs/alerts/ml...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/csrf.md	215	CSRF protection walkthrough	Exercises the double-submit-cookie CSRF protection on the three HTML form routes (`/auth/login`, `/auth/register`, `/auth/logout`), plus the `X-CSRF-Token` header path that HTMX takes for every non...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/dashboards.md	232	Dashboards + run-compare walkthrough	Exercises the dashboards surface (list, create modal, detail, Refresh, sidebar tree) and the run-compare view launched from a papermill job's detail page. Runs as the closing playbook for (Notebook...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/data_products.md	234	Data Products — yaml-declared UC schemas	Replays the happy path: a data team commits a `pointlessql.yaml` declaring their schema as a data product; PointlesSQL caches it; subsequent `pql.write` calls are contract-checked, the cockpit show...	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/dbt-pipeline.md	279	dbt Pipelines walkthrough	Exercises the dbt cockpit at `/dbt`:	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/error-handling.md	194	Error-handling walkthrough	Exercises the RFC 9457 error envelope and the HTMX toast bridge. Every non-OK response in PointlesSQL flows through one of three renderers — `application/problem+json` JSON, an `HX-Trigger` toast f...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/explain-rewrite.md	215	Agent EXPLAIN-driven self-rewrite loop walkthrough	Exercises the explain-first rewrite loop end to end:	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/external-sql-api.md	275	External SQL Statement Execution API walkthrough	Phase 117 ships PointlesSQL's first **token-authenticated public REST surface**: a Databricks-compatible SQL Statement Execution API that lets external clients (curl, dbt, BI tools, application bac...	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/federation.md	224	Federation walkthrough	Exercises the Lakehouse Federation pages (connections, external locations, credentials): list + detail + create modal + the `deleteConfirm` component. All federation routes are admin-only ( restric...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/foreign-catalog-sync.md	139	Foreign-catalog sync walkthrough	Cross-feature smoke test: creates a foreign catalog via the `/` modal pointing at the seeded `pg_e2e` Connection, runs `Sync now`, verifies the sync-history card records the run, and confirms the m...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/full-stack-demo.md	329	Full-stack demo: raw CSV → ML + every JSON API in ~30 seconds	[agent bring-up recipe](../guides/agent-bring-up.md). In one autonomous run it walks the entire stack — every PQL primitive, every MLflow ↔ soyuz cross-link, **and 150+ JSON `/api/*` routes** the a...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/git-backed-workspaces.md	150	Git-Backed Workspaces — register, sync, render	Replays the happy path: a data team commits `pointlessql.yaml` to their repo; an admin registers the URL through the JSON API; a sync materialises the data product + dashboards + saved queries into...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/grand-tour.md	594	Grand Tour — the whole product in one walkthrough	A single 30-40 minute click-through that visits every major UI surface PointlesSQL ships: catalog browsing, lineage row+column+value trace, SQL editor, jobs, run-detail audit tabs, ML Registry with...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/hermes_medallion.md	216	Hermes-Medallion walkthrough	**** — closes + 13.5. Replay this playbook to verify a real Hermes agent (running in its own sandbox) authors a three-layer Medallion lakehouse from a CSV in a UC Volume, with the full forced audit...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/home.md	165	Home dashboard walkthrough	Covers the home page: welcome header, 7-day success-rate sparkline, latest-runs table, Recent catalogs card driven by `localStorage["pql.recentCatalogs"]`, Your-dashboards card, Quick actions (incl...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/incident-responder.md	149	Incident-Responder e2e walkthrough	exercises the Hermes-one-shot Incident-Responder persona against a synthetic broken agent run. Asserts the three canonical drill-down patterns resolve correctly and verifies the four safety propert...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/inference-lineage.md	156	E2E walkthrough — Inference-Lineage	This playbook validates the `models:/{fqn}/{version}` inference- lineage path: the model-detail Lineage DAG must show source-tables upstream (, solid green `trained_from`) **and** prediction-tables...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/inline-editors.md	172	Inline-editors walkthrough	Exercises every interactive editing Alpine component on the catalog / schema / table detail pages: `editable`, `properties_editor`, `tags_editor`, `permissions_card` (Assigned + Effective tabs, gra...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/jobs-dag.md	245	Jobs + DAG walkthrough	Exercises the scheduler surface: single-task job create + Run-now, DAG create via the JSON-textarea modal, retry + fail-skip propagation, Pause / Resume, the per-task log panel, and a cross-feature...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/lens-mcp.md	110	Lens MCP server walkthrough	End-to-end exercise of the Lens MCP server: mint an analyst-scoped api-key, spawn the `lens-mcp` subprocess, send a raw MCP `initialize` + `tools/list` + `tools/call` round-trip via stdio, and veri...	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/lens-overview.md	118	Lens overview walkthrough	End-to-end exercise of the new Lens read-only Q&A surface: admin sets up a BYO LLM-provider key, an analyst opens a chat session, asks a question that triggers a tool call, pins the answer, and re-...	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/library-facts.md	104	library/facts — pin-to-memory browse page	**Mode**: playbook **Phase**: 97 — Pin-to-Memory **Surface**: ``/library/facts`` browse page + per-fact detail URL + Phase-81 feed fan-out.	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/list-polish.md	221	List-page polish walkthrough	Covers the list-page polish: client-side search, sortable column headers, filter chips, cron humanization, "last run" column on `/jobs` (status dot + relative time), and hover quick-actions on job...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/mobile.md	186	Mobile + responsive walkthrough	's mobile pass — exercised at three viewport sizes (375 × 812, 768 × 1024, 1280 × 800) to cover the three breakpoint bands the `--pql-breakpoint-sm/md` tokens cut out. Stack stays FastAPI + Jinja2...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/model-compare.md	122	Model compare walkthrough	Covers the side-by-side model-version comparison view that landed : two cards with v1 + v2 metadata, a metrics table with Δ + Δ% direction-classified (`better` / `worse` / `neutral`), and params +...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/models-promotion.md	142	E2E walkthrough — Champion/Challenger model promotion	This playbook validates the supervisor-only promotion-hop UI added in. The vertical slice: an operator browses to a registered model with two `READY` versions, promotes one to champion through the...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/models-tab.md	211	Models browse walkthrough	Exercises the registered-models browse surface end-to-end: surface a registered model in the sidebar tree and the top-level `/models` index, drill into the detail page, render the focused lineage D...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/multi-workspace-setup.md	170	Multi-workspace setup walkthrough	End-to-end exercise for the workspace surface: create a second workspace, add a member, switch between them in the UI, verify isolation, and exercise the cross-workspace lens.	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/notebook-coedit-multi-tab.md	166	Notebook co-edit — multi-tab replay	Exercises the real-time co-edit pipeline against a live stack with two browser tabs sharing the same notebook. Verifies that text typed in tab A appears in tab B sub-second, that the peer-avatar ra...	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/notebook-editor.md	2021	Native notebook editor walkthrough	Verifies the Monaco-based notebook editor end-to-end — load + save round-trip, kernel execute, output persistence across page reload, kernel restart, Pyright LSP (completion + hover), Variable Expl...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/notebook-jobs.md	154	Notebook Operations — end-to-end walkthrough	> > Surface: Phase 67 — Schedule-from-Notebook + Parametrized runs + > Run-Once + Variable Inspector + in-editor Jobs panel. > Requires Phase 66 (live notebook editor) to be running.	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/notebook-overview.md	131	Browser Notebook editor walkthrough	End-to-end exercise of the resurrected notebook editor (Phases 66.0 → 66.7). Admin creates a notebook from the workspace tree, opens the editor, runs Python / SQL / Markdown cells, lands an audit-t...	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/notebook_assistant.md	186	Notebook AI-Assistant walkthrough	End-to-end replay of the inline AI assistant in the notebook editor. Covers all three plugin tools:	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/notebook_cell_social.md	160	E2E walkthrough — Per-cell social in the notebook editor	This playbook validates Phase 95's cell-level social surface end to end: open a notebook, comment on a single cell, react to it, follow it, tag it, then **edit the cell's source and reload** to con...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/notebook_full_walkthrough.md	219	Notebook full walkthrough —	Deterministic click-through of every output-rendering + editing surface in the native Python notebook editor. Pairs with the (UUID-free marker grammar) and (manual-edit tolerance) refactors — any f...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/oidc.md	197	OIDC walkthrough	Exercises the OAuth2 authorization-code + PKCE flow against the `ghcr.io/navikt/mock-oauth2-server` sidecar added to `docker/docker-compose.e2e.yml`. Two passes: off (SSO button absent) and on (ful...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/operational.md	133	Operational walkthrough	Exercises the cross-cutting operational surface: the public `/healthz` probe, the admin-gated Prometheus `/metrics` endpoint, the `/403` error page rendered by the central error handler, and the `X...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/packaging.md	124	Packaging / clean-machine install walkthrough	Covers the contract: a user with a fresh workstation (no `git clone`, no `../soyuz-catalog` sibling, no ssh key against `github.com`) can install the PointlesSQL stack by logging in to GHCR and pul...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/rate-limit.md	220	Auth rate-limiting walkthrough	Exercises the per-IP and per-email rate limiter on the `/auth/*` surface. The limiter is a fixed-window counter backed by `rate_limit_events` in PointlesSQL's own Alembic DB — no Redis, no new runt...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/reflexive_tools.md	374	Reflexive supervision tools walkthrough	** close-out replay.** This playbook proves the five sub-sprints of actually close the read-loop the 2026-04-25 walkthrough surfaced — three bugs in that demo all shared one root cause (no tool to...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/rollback.md	204	Rollback walkthrough	**** — closes (First-Class Rollback). Replay this playbook to verify the audit→action loop in headful Firefox: admin clicks a Rollback button on `/runs/{id}`, the modal renders the version-delta +...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/run-comparisons.md	195	Run-comparisons walkthrough	PointlesSQL has TWO compare surfaces with similar names but different routes, different audiences, and different tab shapes. This playbook covers both end-to-end so a reader stops mixing them up:	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/social.md	420	Social — full social network around data products	Replays the happy path: the data-product surface is now a full social network. Users follow other users, topics aggregate data products, agents post first-class comments / reviews / endorsements (a...	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/sql-editor-writes.md	182	SQL editor — write statements	Exercises the dispatcher that turned the SELECT-only editor into an AST-classifying frontend over typed primitives. Walks INSERT FROM SELECT, CREATE TABLE AS SELECT, UPDATE, DELETE, DROP TABLE, CRE...	2026-05-24	Florian Hofstetter	false
docs/e2e-walkthroughs/sql-editor.md	244	SQL editor walkthrough	Exercises the Sprints 49-53 ad-hoc SQL surface: CodeMirror editor at `/sql`, per-referenced-table `SELECT` enforcement, query history at `/queries`, saved queries drawer, CSV/Parquet export, cancel...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/sql_chat.md	141	SQL chat walkthrough	Walks through the NL→SQL chat drawer end-to-end: ask a SELECT question, propose a DML, accept the draft, then refine a zero-rows turn. Replays cleanly via Playwright (the fake-LLM fixture lives in...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/time-travel.md	108	Time-travel value-query walkthrough	Exercises the time-travel surface: a table-detail "view at version N" picker plus a row-trace "at this Delta version, what did this row look like" admin-only lookup. Builds on the ``agent_run_opera...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/ux-overhaul.md	184	UX overhaul walkthrough	's UX-overhaul pass — exercises the keyboard-shortcut registry, the shared `pqlApi` fetch + toast flow, and the new `prefers-reduced-motion` + global `:focus-visible` contract. Stack stays FastAPI...	2026-05-24	Florian Hofstetter	true
docs/e2e-walkthroughs/vector_search.md	167	Vector search walkthrough	Phase 92 ships the third PQL compute primitive next to `pql.merge` and `pql.autoload`: an HNSW vector index over a Delta table's text column, with a `pql.vector_search` query path, REST endpoints,...	2026-05-19	Florian Hofstetter	false
docs/e2e-walkthroughs/volumes.md	141	Volumes walkthrough	Covers the volumes surface that landed : the list page at `/volumes`, the detail page at `/volumes/{full_name}` with its upload card, file table, convert-to-Delta button (csv/parquet/json) and per-...	2026-05-24	Florian Hofstetter	true
docs/getting-started/concepts.md	188	Concepts at a glance	Read this once and you'll have the mental model for every other PointlesSQL doc. expands each section into a dedicated [concept page](../concepts/index.md); this page is the **ten-minute read** tha...	2026-05-02	Florian Hofstetter	true
docs/getting-started/index.md	21	Getting Started	Three pages, in this order:	2026-04-30	Florian Hofstetter	true
docs/getting-started/installation.md	238	Installing PointlesSQL	Three supported install flavours. Pick the one that matches your situation. All three require access to the private [soyuz-catalog][sc] repository, which backs PointlesSQL's catalog.	2026-05-17	Florian Hofstetter	true
docs/getting-started/quickstart.md	165	Quickstart	Get from zero to "I just read a Delta table by name and saw the audit row pop up" in under five minutes.	2026-05-17	Florian Hofstetter	true
docs/guides/agent-bring-up.md	208	Agent bring-up	A golden-path tutorial for wiring a brand-new Hermes agent to PointlesSQL end-to-end. ~30 minutes. Chains four e2e walkthroughs (auth, agent-ml-registry, audit-reviewer-daily, admin-audit) into a s...	2026-04-30	Florian Hofstetter	true
docs/guides/faq.md	178	FAQ	Non-error questions that come up often.	2026-05-02	Florian Hofstetter	true
docs/guides/index.md	105	Guides	Task-oriented walkthroughs. Three flavours:	2026-05-24	Florian Hofstetter	true
docs/guides/jobs.md	246	Authoring custom job kinds	PointlesSQL's scheduler (see `pointlessql/services/scheduler.py`) walks a small registry of **job kinds** — callables that know how to perform one unit of work. Two kinds ship in-box:	2026-05-02	Florian Hofstetter	true
docs/guides/operator-cookbook.md	184	Operator cookbook	Twenty short recipes for the things an operator does in a typical week. Each recipe is one to three sentences plus a link to the long-form walkthrough for the deep version.	2026-04-30	Florian Hofstetter	true
docs/guides/troubleshooting.md	258	Troubleshooting	Symptom-first index. If a known landmine has been documented in a `BUG-NN-NN` source comment, that's referenced too.	2026-05-02	Florian Hofstetter	true
